"input","output","date","conv_id","user_id","channel_source","intencion","tipo_queja"
"ya lo intente desde la aplicacion pero solo me dice que debo tomar en cuenta que la transferencia puede tardar mas de horas y de alli ya no puedo avanzar","Lamento que estés teniendo esa experiencia. Es normal que la transferencia de deuda pueda tardar más de 48 horas en procesarse, ya que depende de la validación y autorización entre bancos. Mientras tanto, te recomiendo revisar que toda la información que ingresaste esté correcta y que tu cuenta Hey tenga los fondos necesarios para completar la operación.

Si después de ese tiempo no ves avances, lo ideal es que verifiques con tu banco actual el estado de la deuda y también con Hey Banco para asegurarte de que no haya algún bloqueo o detalle pendiente.

¿Quieres que te ayude con alguna otra información o con otro producto? Estoy aquí para apoyarte.",2025-10-24,"03ef84c2-8a04-4863-91f0-d6f2d4d4400d","USR-02970",1,"queja","bloqueo"
"llevo anos nunca eh fallado en ningun pago","Lamento escuchar eso. Si has estado usando tu Tarjeta de Crédito Hey con Garantía de manera responsable y no has fallado en ningún pago, es comprensible que te sientas frustrado por no haber recibido aún la oferta para la Tarjeta de Crédito Hey tradicional. 

Es posible que el tiempo que has estado con la tarjeta y tu historial crediticio estén siendo evaluados. Te animo a seguir utilizando tu tarjeta de manera responsable, ya que esto puede ayudar a mejorar tu historial y aumentar tus posibilidades de recibir la oferta en el futuro.

Si tienes más preguntas o necesitas más información, ¡estoy aquí para ayudarte!",2025-08-23,"044bebef-0593-40e5-83a0-bbeb268cd5e8","USR-11717",1,"queja","error tecnico"
"no puedo sacar una tradicional si tengo un historial regular","Claro que sí puedes solicitar una Tarjeta de Crédito Hey aunque tu historial crediticio sea regular. Si tu buró de crédito no está en las mejores condiciones, es posible que no califiques para la tarjeta tradicional, pero Hey Banco te ofrece la opción de la Tarjeta de Crédito Hey con Garantía. Esta tarjeta está diseñada para personas con historial crediticio menos favorable, dándote la oportunidad de acceder a crédito y mejorar tu reputación financiera poco a poco.

¿Quieres que te cuente más sobre cómo funciona la Tarjeta de Crédito Hey con Garantía o cómo puedes solicitarla? ¡Estoy aquí para ayudarte!",2025-08-29,"04cae726-0ea8-479b-8856-ef38fa79cafd","USR-05639",1,"queja","bloqueo"
"no el problema no es mi domicilio en la app el problema es que no lo pusieron bien en el paquete y el que entrega no lo tiene legible","Gracias por aclararlo. Si el problema es que el número exterior no está legible en el paquete y no un error en tu domicilio registrado, eso puede dificultar la entrega por parte de la paquetería. En este caso, lo mejor es que solicites el reenvío de tu tarjeta desde la app Hey para que te envíen un nuevo paquete con la información correcta y legible.

Recuerda que tienes hasta 30 días para pedir este reenvío antes de que, por seguridad, la tarjeta sea destruida. En la app recibirás la notificación para verificar tu domicilio y solicitar el reenvío.

¿Quieres que te ayude a encontrar dónde solicitar el reenvío en la app? Estoy aquí para apoyarte. ¿Hay algo más en lo que pueda ayudarte?",2025-08-29,"04cae726-0ea8-479b-8856-ef38fa79cafd","USR-05639",1,"queja","problemas app"
"no se puede ya hice todo y no puedo sacar el estado de cuenta","Lamento escuchar eso. Si ya intentaste todo y aún no puedes descargar tu estado de cuenta, lo mejor sería que contactes al Centro de Atención a Clientes al 8143922626. Ellos podrán ayudarte a resolver el problema de manera más efectiva.

Si hay algo más en lo que pueda asistirte o si tienes alguna otra pregunta, ¡estaré aquí para ayudarte!",2025-07-09,"053f9198-8d99-44b0-b135-10731ddc7321","USR-03724",1,"queja","bloqueo"
"tengo problemas con un reembolso que no lo acepta el banco con quien lo hablo","Lamento escuchar eso. Si tienes problemas con un reembolso que no acepta el banco, puedes reportar el cargo desde la app de Hey Banco. Ve a la sección de 'Tarjeta de Crédito', selecciona 'Movimientos', encuentra el cargo que no reconoces, elige 'No reconozco este cargo', llena el cuestionario y confirma la solicitud. 

Si prefieres hablar con alguien, puedes contactar al Centro de Atención a Clientes al 8143922626, donde te ayudarán a resolver tu situación. Si necesitas más información o ayuda con otro tema, ¡aquí estoy para ayudarte!",2025-08-01,"05E1D90A-852F-43C1-B76E-5EEE4DA4D541","USR-00588",1,"queja","reembolso"
"disculpa mi amiga me presto su celular no puedo entrar ami cuenta hey","Lamento escuchar eso. Si estás usando el celular de tu amiga y no puedes acceder a tu cuenta Hey, te recomiendo que sigas estos pasos:

1. **Verifica tu número**: Asegúrate de que estás ingresando el número de celular correcto asociado a tu cuenta.
2. **Código de verificación**: Cuando intentes iniciar sesión, se enviará un código de verificación a tu número de celular. Asegúrate de tener acceso a ese número para recibir el código.
3. **Seguridad**: Si no puedes recibir el código porque no tienes acceso a tu número, es mejor que contactes al Centro de Atención a Clientes al 8143922626 para que te ayuden a recuperar el acceso a tu cuenta.

Si necesitas más ayuda o tienes alguna otra pregunta, ¡no dudes en decírmelo! Estoy aquí para ayudarte.",2025-09-24,"05e46694c6b40a693d900bfd02202a8e","USR-00971",1,"queja","bloqueo"
"y si no puedo obtener dinero al instante es porque no ha sido aprobad","Claro que sí puedo ayudarte con eso. Si no puedes obtener dinero al instante, una razón común es que tu crédito aún no ha sido aprobado. En Hey Banco, la aprobación de un Crédito Personal Hey es rapidísima, generalmente toma entre 1 y 3 minutos. 

Además, una vez aprobado, el dinero se abona en tu Cuenta Hey en cuestión de minutos, siempre y cuando sea un día hábil bancario y dentro del horario de 8 am a 6 pm. Si ya te aprobaron el crédito pero no ves los fondos, puede ser por algún detalle que conviene revisar.

¿Quieres que te ayude a revisar el estado de tu crédito o tienes alguna otra duda?",2025-10-22,"06A5690A-B14B-4FED-89C9-C7CBF73357C6","USR-07244",1,"queja","bloqueo"
"tengo un problema","Lamento escuchar eso. ¿Podrías darme más detalles sobre el problema que estás enfrentando? Estoy aquí para ayudarte en lo que necesites.",2025-09-16,"06C6D658-8F0C-43C8-867E-4C3B61DA978D","USR-11691",1,"queja","otro"
"es que no puedo por aca no me deja avanzar pero ya esta validada mi cuenta","Lamento que estés teniendo ese problema. La solicitud de crédito personal en Hey Banco está diseñada para realizarse exclusivamente desde la app móvil, por lo que no es posible avanzar con la solicitud desde la computadora, aunque tu cuenta ya esté validada. Te recomiendo usar la app en tu celular para continuar con el proceso sin inconvenientes.

Si tienes alguna otra duda o necesitas ayuda con la solicitud en la app, aquí estoy para apoyarte. ¿Quieres que te guíe paso a paso?",2025-08-16,"07515E0C-66D5-4E02-AB23-11CDC035E919","USR-13652",1,"queja","bloqueo"
"no puedo avanzar de la parte de firma para buro","Lamento que estés teniendo ese inconveniente con la firma para el buró de crédito. Si al intentar avanzar te indica que tu firma electrónica está incorrecta, te recomiendo abrir la app, iniciar sesión, seleccionar la cuenta que estás usando, tocar el ícono de los tres puntos y revisar tu NIP. Así podrás asegurarte de que estás usando el correcto para firmar.

Si después de esto el problema persiste, verifica que tienes la versión más reciente de la app instalada y, si es posible, intenta borrar el caché y almacenamiento de la app para reiniciar el proceso.

¿Quieres que te ayude con algún otro paso o tienes alguna otra duda?",2025-08-16,"07515E0C-66D5-4E02-AB23-11CDC035E919","USR-13652",1,"queja","bloqueo"
"me dijeron que es problema con el banco","Lamento escuchar que estás teniendo este problema con tu retiro. Si el banco es responsable y el cajero no te entregó el efectivo, puedes abrir la app Hey, ir a 'Cuentas' y luego a 'Movimientos'. Ahí busca el retiro de 250 pesos, selecciónalo y haz clic en 'No reconozco este cargo'. Llena el cuestionario de aclaración mencionando que intentaste retirar efectivo, pero no te lo entregaron o te dieron una cantidad diferente. Así el banco podrá investigar y ayudarte a resolverlo.

¿Quieres que te guíe paso a paso para hacer esta aclaración en la app? Estoy aquí para ayudarte.",2025-08-31,"0780ed15-5a9a-41c5-bb55-861c3324dedb","USR-11738",1,"queja","otro"
"no puedo obtener el numero de rastreo","Lamento escuchar eso. Para encontrar la clave de rastreo de tu transferencia, revisa el correo de confirmación que recibiste al hacer la transferencia. También puedes checar el detalle de movimientos en tu app. Solo inicia sesión, ve a ""Cuentas"" y luego a ""Movimientos"". Ahí, selecciona el movimiento de SPEI y en ""Concepto"" verás la clave que empieza con 058- y termina en una coma (,).

Si sigues teniendo problemas, no dudes en decírmelo y buscaré más opciones para ayudarte. ¿Hay algo más con lo que te pueda apoyar?",2025-09-23,"0829e0b6-d3cf-40f6-97f7-024ef3ac220f","USR-06348",1,"queja","bloqueo"
"un cargo que fue rechazado pero me sale pendiente y el monto sigue sin regresarme a mi cuenta","Lamento escuchar eso. Si un cargo fue rechazado pero sigue ""pendiente"", puede tardar un poco en reflejarse el reembolso en tu cuenta. Te recomiendo que revises el comprobante de la transacción y asegúrate de que la información sea correcta. 

Si el monto no se ha regresado después de un tiempo razonable, lo mejor es que te pongas en contacto con nuestro centro de atención a clientes. Ellos podrán ayudarte a revisar y solucionar el problema. 

Si necesitas más información o tienes alguna otra pregunta, ¡aquí estoy para ayudarte!",2025-08-14,"08856BD8-5A2B-4C53-8467-4CF9B8CBEAA6","USR-09731",1,"queja","tarjeta rechazada"
"quisiera pedir un prestamo pero no puedo mandar solicitud nuevamente","Lamento que estés teniendo ese inconveniente. Si no puedes enviar una nueva solicitud de préstamo, puede ser porque ya tienes una solicitud en proceso para esa cuenta o crédito. También es importante que tu crédito actual tenga al menos 12 meses de antigüedad y que estés al día con los pagos para poder pedir más crédito personal.

Si ya cumpliste con estos requisitos y aún no puedes enviar la solicitud, puede que la oferta ya no esté disponible en la app. ¿Quieres que te ayude a revisar alguna otra opción de crédito o tienes alguna otra duda?",2025-08-24,"08930c10-fc54-46a7-9c78-69df620af60b","USR-05032",1,"queja","bloqueo"
"porque no puedo aumentar mi limite de credito","Claro! La razón por la que no puedes aumentar tu límite de crédito en tu Tarjeta de Crédito Hey es porque los aumentos de límite no se piden directamente. En su lugar, estos aumentos llegan por invitación, ya sea a través de un correo electrónico o una notificación en la app. Además, dependen de tu historial crediticio, tu capacidad de pago y cómo manejas tu tarjeta.

Si tienes más preguntas sobre tu tarjeta o cualquier otro producto, no dudes en decírmelo. ¡Estoy aquí para ayudarte!",2025-09-10,"08b0391d-9328-4493-9977-809922bedeb5","USR-13117",1,"queja","bloqueo"
"porque no puedo ver los movimientos de la tarjeta de credito despues de hacer un pago","Claro que puedo ayudarte con eso. Cuando realizas un pago con tu Tarjeta de Crédito Hey, la actualización del saldo es inmediata, por lo que el pago se refleja al instante. Sin embargo, para ver los movimientos en la app, debes ir a la sección de 'Tarjeta de Crédito' y luego a 'Movimientos', donde podrás ver todas las transacciones y pagos realizados.

Si no ves el movimiento o el pago reflejado, te recomiendo revisar que estés en la sección correcta y que la app esté actualizada. También puede ser útil cerrar y abrir la app para refrescar la información.

¿Quieres que te guíe paso a paso para revisar tus movimientos o tienes alguna otra duda sobre tu tarjeta?",2025-09-17,"0985682f-37a3-4a73-8d72-43859dbea0b6","USR-05301",1,"queja","bloqueo"
"havi estoy tratando de solicitar el credito negocio pero me aparece una leyenda de hubo un error en traer la informacion","Lamento escuchar eso. Si estás teniendo problemas al solicitar el Crédito Negocios Hey y te aparece un mensaje de error, lo mejor es que te pongas en contacto con nuestro centro de atención a clientes. Ellos podrán revisar tu situación y ayudarte a resolverlo. 

Si tienes alguna otra pregunta o necesitas información sobre otro producto, ¡no dudes en decírmelo!",2025-09-24,"09B90BB1-C749-4A95-857C-AE29E76FD5D9","USR-12425",1,"queja","error tecnico"
"porque no puedo realizar un pago a infonavit","Lamento decirte que no tengo información acerca de los pagos a Infonavit. Sin embargo, tengo información de los siguientes temas:

a) Créditos personales.
b) Tarjetas de crédito.
c) Inversión Hey.

Si tienes duda acerca de estos u otros temas, estaré encantado de ayudarte. ¿Hay algo más en lo que te pueda asistir?",2025-09-03,"0A95C4D2-F733-4DBC-866E-A1BB51C27978","USR-03764",1,"queja","bloqueo"
"no puedo activar mi tarjeta de credito","Lamento que estés teniendo problemas para activar tu tarjeta de crédito. Te recomiendo primero revisar que tu conexión a internet esté estable y que la app esté actualizada. También intenta cerrar y abrir de nuevo la aplicación y verifica que los datos que ingresaste sean correctos. Si la tarjeta ya está activa, no será posible activarla de nuevo. 

Si el problema persiste, dime si es una tarjeta de crédito normal o alguna otra para darte más detalles. ¿Quieres que te ayude con algo más?",2025-09-29,"0B2543D8-6733-4934-A14A-6853071D0149","USR-03398",1,"queja","bloqueo"
"estoy en el extranjero y no puedo llamar necesito contacto por mensaje","Claro! Si estás en el extranjero y no puedes llamar, puedes enviar un correo electrónico a contacto@heybanco.com. Ellos te responderán y te ayudarán con cualquier consulta que tengas.

Si necesitas más información o ayuda con algo más, ¡aquí estoy para ayudarte!",2025-07-21,"0B2A7C8D-6475-4EB8-87D6-F75EF0622B7E","USR-07674",1,"queja","bloqueo"
"no puedo encontrar la clave de rastreo","Lamento escuchar eso. Para encontrar la clave de rastreo de tu transferencia, puedes revisar el correo de confirmación que recibiste al hacer la transferencia. También puedes checar el detalle de movimientos en tu app. Solo inicia sesión, ve a ""Cuentas"" y luego a ""Movimientos"". Ahí, selecciona el movimiento de SPEI y en ""Concepto"" verás la clave que empieza con 058- y termina en una coma (,).

Si necesitas más ayuda o tienes alguna otra pregunta, ¡no dudes en decírmelo!",2025-10-11,"0B8C6E8F-7BFE-4B27-A0D9-06E440C120CA","USR-14310",1,"queja","bloqueo"
"una ocasion en la verificacion de mi cuenta fallo la verificacion de datos biometricos quiero volver a intentar a validar mi cuenta pero no me permite la aplicacion no me deja volver a validarla","Lamento escuchar que tuviste problemas con la verificación biométrica. Para volver a intentar la validación, te recomiendo primero asegurarte de que tu conexión a internet sea estable y que los documentos que subiste estén claros y vigentes. También puedes intentar reiniciar la app o verificar si hay alguna actualización pendiente.

Si la app sigue sin permitirte hacer la validación biométrica nuevamente, puede ser útil borrar los datos y caché de la aplicación para que se restablezca el proceso. Recuerda que para la validación biométrica necesitas mostrar el frente y reverso de tu identificación oficial vigente (como INE o pasaporte mexicano) y tomarte una selfie desde la app.

¿Quieres que te ayude con algún paso específico para intentar la validación otra vez? ¿O tienes alguna otra duda sobre el proceso?",2025-09-06,"0C3BB7D1-9E66-4F6A-B7AD-F4EE071AC3D5","USR-09150",1,"queja","error tecnico"
"de ninguna manera ya elimine la aplicacion porque uso iphone en iphone no se puede borrar cache asi que se tuvo que desinstalar la aplicacion y volverla a instalar y aun asi no deja volver a validar la cuenta con los datos geometricos o sea simplemente no no da si aparece la opcion pero no funciona el la tecla como quien dice","Lamento que sigas teniendo ese inconveniente. En iPhone, después de reinstalar la app, es importante que ingreses con tu usuario y contraseña para que la aplicación te permita continuar con los procesos, incluyendo la validación biométrica. Si la opción no aparece, puede ser que la app esté detectando que tu cuenta ya está en un estado pendiente o bloqueado para esa validación.

Te sugiero revisar que la app esté actualizada a la última versión disponible en la App Store y, si el problema persiste, intenta reiniciar tu teléfono para descartar algún conflicto temporal.

¿Quieres que te oriente sobre cómo proceder para validar tu cuenta o tienes alguna otra duda relacionada con tu Cuenta Hey? Estoy aquí para ayudarte.",2025-09-06,"0C3BB7D1-9E66-4F6A-B7AD-F4EE071AC3D5","USR-09150",1,"queja","bloqueo"
"esa clabe no me funciona tiene errores que debo hacer","Lamento escuchar eso. Si tu CLABE no está funcionando, lo primero que te recomiendo es que revises que la hayas ingresado correctamente, asegurándote de que no haya errores en los números. 

Si después de verificar sigue sin funcionar, puedes consultar el portal de Banxico con el comprobante electrónico de pago (CEP) en este enlace: [Banxico CEP](https://www.banxico.org.mx/cep). Ahí podrás verificar que el importe, la cuenta destino y la fecha de la transferencia sean correctos.

Si el problema persiste, lo mejor es que te pongas en contacto con el centro de atención de Hey Banco para que puedan ayudarte a resolverlo.

Si necesitas más ayuda o tienes alguna otra pregunta, ¡no dudes en decírmelo!",2025-09-05,"0D471BA2-E8FF-48D5-B119-0D1FD7E7E476","USR-06751",1,"queja","error tecnico"
"no puedo abrir una nueva cuenta","Lamento escuchar eso. Para abrir una nueva Cuenta Hey, asegúrate de seguir estos pasos:

1. Descarga la App Hey Banco.
2. Selecciona ""Crear Cuenta"" y sigue las instrucciones.
3. Asegúrate de tener la versión más reciente de la app y que tu sistema operativo esté actualizado.

Recuerda que los requisitos son ser mexicano, tener tu INE vigente y un comprobante de domicilio que no tenga más de 3 meses. Si ya tienes tu usuario y contraseña, solo ingrésalos en la app para continuar con el proceso.

Si te encuentras con algún problema específico, no dudes en comentarlo y veré cómo puedo ayudarte. ¿Hay algo más con lo que te pueda apoyar?",2025-08-19,"0E5DB4C2-8A29-4D0B-9779-DDDC19F26D5B","USR-02933",1,"queja","bloqueo"
"y si no puedo ver mi numero de tarjeta no sale","Lamento escuchar eso. Si no puedes ver tu número de tarjeta, te recomiendo que revises nuevamente tu estado de cuenta, ya que ahí debería aparecer. Si aún así no lo encuentras, puedes buscar en tu correo un mensaje con el asunto ""Tu cuenta hey está lista"", donde también debería estar tu número de tarjeta.

Si sigues teniendo problemas, lo mejor es que contactes al servicio de atención al cliente de Hey Banco para que te ayuden directamente. 

¿Hay algo más con lo que te pueda apoyar?",2025-08-30,"0E8816CF-54BF-4B48-B841-D33C1B9D0034","USR-14663",1,"queja","bloqueo"
"cual es el numero de servicio al cliente para revolver mi problema","Claro! El número del Centro de Atención a Clientes es 8143922626. Puedes llamarlos en cualquier momento, ya que están disponibles las 24 horas, todos los días. Ellos podrán ayudarte a resolver cualquier inconveniente que tengas con la app.

Si hay algo más en lo que pueda asistirte, ¡no dudes en decírmelo!",2025-08-24,"0F2ECCD9-ACAA-4BBA-A2EA-4BDB3B98C365","USR-00948",1,"queja","otro"
"es que no puedo usar la tarjeta cuando quiero comprar por que se bloqueo","Lamento que estés teniendo problemas para usar tu tarjeta debido al bloqueo del NIP. Primero, te recomiendo revisar desde la app si tu tarjeta está bloqueada por emergencia. También asegúrate de que el NIP que estás ingresando sea el correcto y que tengas saldo suficiente para la compra. Si después de verificar esto sigues sin poder usarla, puede ser necesario que restablezcas tu NIP desde la app o que revises los parámetros de compra.

¿Quieres que te guíe para desbloquear tu tarjeta o para recuperar tu NIP desde la app? ¿Hay algo más en lo que pueda ayudarte?",2025-11-16,"0FDA4AFA-4B0E-458F-9CF0-72C68F4C044F","USR-10713",1,"queja","bloqueo"
"no aparece mi numero de trasferencia o deposito y no puedo transferir","Lamento escuchar eso. Si no ves reflejado un depósito o transferencia, aquí hay algunos pasos que puedes seguir:

1. **Revisa el límite de depósitos** de tu Cuenta Hey para asegurarte de que no lo hayas superado.
2. **Verifica con la persona** que te hizo la transferencia si no fue devuelta.
3. **Pide la clave de rastreo** y consulta el estatus en la página de Banxico.
4. Si después de esto aún no aparece, lo mejor es que llames al Centro de Atención a Clientes al 8143922626 para que te ayuden a resolverlo.

Si necesitas más información o ayuda con otro tema, ¡no dudes en decírmelo!",2025-10-09,"0a63796d-f037-45db-874e-3548b9387286","USR-12005",1,"queja","bloqueo"
"no puedo transferir","Lamento escuchar eso. Si no puedes realizar una transferencia, aquí hay algunos pasos que puedes seguir:

1. **Verifica la información**: Asegúrate de que los datos que ingresaste sean correctos. A veces, copiar y pegar puede causar errores, así que es mejor ingresarlos manualmente.

2. **Límites de la cuenta**: Revisa si la cuenta receptora tiene algún límite de depósitos que pueda estar afectando la transferencia.

3. **Comprobante CEP**: No olvides corroborar y descargar el comprobante CEP de Banxico para tener un registro de la transacción.

Si después de verificar todo esto aún tienes problemas, no dudes en preguntar más o buscar ayuda adicional. ¿Hay algo más con lo que te pueda apoyar?",2025-07-31,"0ac8942d-2c23-4a73-b3d4-924af96667eb","USR-00190",1,"queja","bloqueo"
"aun no puedo transferir","Lamento escuchar eso. Si aún no puedes realizar la transferencia, aquí hay algunas recomendaciones adicionales:

1. **Revisa el estado de tu cuenta**: Asegúrate de que tu Cuenta Hey esté activa y no tenga restricciones.

2. **Verifica el límite de tu cuenta**: Asegúrate de que no hayas alcanzado el límite de transferencias o de saldo en tu cuenta.

3. **Consulta el portal de Banxico**: Puedes verificar el estado de la transferencia utilizando el comprobante electrónico de pago (CEP) en el portal de Banxico: [Banxico CEP](https://www.banxico.org.mx/cep).

4. **Esperar un poco más**: A veces, las transferencias pueden tardar un poco más en procesarse. 

Si después de todo esto sigues teniendo problemas, lo mejor es que contactes al Centro de Atención a Clientes al 8143922626 para que te ayuden a resolverlo. 

¿Hay algo más en lo que pueda asistirte?",2025-07-31,"0ac8942d-2c23-4a73-b3d4-924af96667eb","USR-00190",1,"queja","bloqueo"
